user_id,method_type,last_four,is_default
1,credit_card,1001,1
2,credit_card,1002,1
3,credit_card,1003,1
4,credit_card,1004,1
5,credit_card,1005,1
6,credit_card,1006,1
7,credit_card,1007,1
8,credit_card,1008,1
9,credit_card,1009,1
10,credit_card,1010,1
11,credit_card,1011,1
12,credit_card,1012,1
13,credit_card,1013,1
14,credit_card,1014,1
15,credit_card,1015,1
16,credit_card,1016,1
17,credit_card,1017,1
18,credit_card,1018,1
19,credit_card,1019,1
20,credit_card,1020,1
21,credit_card,1021,1
22,credit_card,1022,1
23,credit_card,1023,1
24,credit_card,1024,1
25,credit_card,1025,1
26,credit_card,1026,1
27,credit_card,1027,1
28,credit_card,1028,1
29,credit_card,1029,1
30,credit_card,1030,1
31,credit_card,1031,1
32,credit_card,1032,1
33,credit_card,1033,1
34,credit_card,1034,1
35,credit_card,1035,1
36,credit_card,1036,1
37,credit_card,1037,1
38,credit_card,1038,1
39,credit_card,1039,1
40,credit_card,1040,1
41,credit_card,1041,1
42,credit_card,1042,1
43,credit_card,1043,1
44,credit_card,1044,1
45,credit_card,1045,1
46,credit_card,1046,1
47,credit_card,1047,1
48,credit_card,1048,1
49,credit_card,1049,1
50,credit_card,1050,1
51,credit_card,1051,1
52,credit_card,1052,1
53,credit_card,1053,1
54,credit_card,1054,1
55,credit_card,1055,1
56,credit_card,1056,1
57,credit_card,1057,1
58,credit_card,1058,1
59,credit_card,1059,1
60,credit_card,1060,1
61,credit_card,1061,1
62,credit_card,1062,1
63,credit_card,1063,1
64,credit_card,1064,1
65,credit_card,1065,1
66,credit_card,1066,1
67,credit_card,1067,1
68,credit_card,1068,1
69,credit_card,1069,1
70,credit_card,1070,1
71,credit_card,1071,1
72,credit_card,1072,1
73,credit_card,1073,1
74,credit_card,1074,1
75,credit_card,1075,1
76,credit_card,1076,1
77,credit_card,1077,1
78,credit_card,1078,1
79,credit_card,1079,1
80,credit_card,1080,1
81,credit_card,1081,1
82,credit_card,1082,1
83,credit_card,1083,1
84,credit_card,1084,1
85,credit_card,1085,1
86,credit_card,1086,1
87,credit_card,1087,1
88,credit_card,1088,1
89,credit_card,1089,1
90,credit_card,1090,1
91,credit_card,1091,1
92,credit_card,1092,1
93,credit_card,1093,1
94,credit_card,1094,1
95,credit_card,1095,1
96,credit_card,1096,1
97,credit_card,1097,1
98,credit_card,1098,1
99,credit_card,1099,1
100,credit_card,1100,1
101,credit_card,1101,1
102,credit_card,1102,1
103,credit_card,1103,1
104,credit_card,1104,1
105,credit_card,1105,1
106,credit_card,1106,1
107,credit_card,1107,1
108,credit_card,1108,1
109,credit_card,1109,1
110,credit_card,1110,1
111,credit_card,1111,1
112,credit_card,1112,1
113,credit_card,1113,1
114,credit_card,1114,1
115,credit_card,1115,1
116,credit_card,1116,1
117,credit_card,1117,1
118,credit_card,1118,1
119,credit_card,1119,1
120,credit_card,1120,1
121,credit_card,1121,1
122,credit_card,1122,1
123,credit_card,1123,1
124,credit_card,1124,1
125,credit_card,1125,1
126,credit_card,1126,1
127,credit_card,1127,1
128,credit_card,1128,1
129,credit_card,1129,1
130,credit_card,1130,1
131,credit_card,1131,1
132,credit_card,1132,1
133,credit_card,1133,1
134,credit_card,1134,1
135,credit_card,1135,1
136,credit_card,1136,1
137,credit_card,1137,1
138,credit_card,1138,1
139,credit_card,1139,1
140,credit_card,1140,1
141,credit_card,1141,1
142,credit_card,1142,1
143,credit_card,1143,1
144,credit_card,1144,1
145,credit_card,1145,1
146,credit_card,1146,1
147,credit_card,1147,1
148,credit_card,1148,1
149,credit_card,1149,1
150,credit_card,1150,1
151,credit_card,1151,1
152,credit_card,1152,1
153,credit_card,1153,1
154,credit_card,1154,1
155,credit_card,1155,1
156,credit_card,1156,1
157,credit_card,1157,1
158,credit_card,1158,1
159,credit_card,1159,1
160,credit_card,1160,1
161,credit_card,1161,1
162,credit_card,1162,1
163,credit_card,1163,1
164,credit_card,1164,1
165,credit_card,1165,1
166,credit_card,1166,1
167,credit_card,1167,1
168,credit_card,1168,1
169,credit_card,1169,1
170,credit_card,1170,1
171,credit_card,1171,1
172,credit_card,1172,1
173,credit_card,1173,1
174,credit_card,1174,1
175,credit_card,1175,1
176,credit_card,1176,1
177,credit_card,1177,1
178,credit_card,1178,1
179,credit_card,1179,1
180,credit_card,1180,1
181,credit_card,1181,1
182,credit_card,1182,1
183,credit_card,1183,1
184,credit_card,1184,1
185,credit_card,1185,1
186,credit_card,1186,1
187,credit_card,1187,1
188,credit_card,1188,1
189,credit_card,1189,1
190,credit_card,1190,1
191,credit_card,1191,1
192,credit_card,1192,1
193,credit_card,1193,1
194,credit_card,1194,1
195,credit_card,1195,1
196,credit_card,1196,1
197,credit_card,1197,1
198,credit_card,1198,1
199,credit_card,1199,1
200,credit_card,1200,1
201,credit_card,1201,1
202,credit_card,1202,1
203,credit_card,1203,1
204,credit_card,1204,1
205,credit_card,1205,1
206,credit_card,1206,1
207,credit_card,1207,1
208,credit_card,1208,1
209,credit_card,1209,1
210,credit_card,1210,1
211,credit_card,1211,1
212,credit_card,1212,1
213,credit_card,1213,1
214,credit_card,1214,1
215,credit_card,1215,1
216,credit_card,1216,1
217,credit_card,1217,1
218,credit_card,1218,1
219,credit_card,1219,1
220,credit_card,1220,1
221,credit_card,1221,1
222,credit_card,1222,1
223,credit_card,1223,1
224,credit_card,1224,1
225,credit_card,1225,1
226,credit_card,1226,1
227,credit_card,1227,1
228,credit_card,1228,1
229,credit_card,1229,1
230,credit_card,1230,1
231,credit_card,1231,1
232,credit_card,1232,1
233,credit_card,1233,1
234,credit_card,1234,1
235,credit_card,1235,1
236,credit_card,1236,1
237,credit_card,1237,1
238,credit_card,1238,1
239,credit_card,1239,1
240,credit_card,1240,1
241,credit_card,1241,1
242,credit_card,1242,1
243,credit_card,1243,1
244,credit_card,1244,1
245,credit_card,1245,1
246,credit_card,1246,1
247,credit_card,1247,1
248,credit_card,1248,1
249,credit_card,1249,1
250,credit_card,1250,1
251,credit_card,1251,1
252,credit_card,1252,1
253,credit_card,1253,1
254,credit_card,1254,1
255,credit_card,1255,1
256,credit_card,1256,1
257,credit_card,1257,1
258,credit_card,1258,1
259,credit_card,1259,1
260,credit_card,1260,1
261,credit_card,1261,1
262,credit_card,1262,1
263,credit_card,1263,1
264,credit_card,1264,1
265,credit_card,1265,1
266,credit_card,1266,1
267,credit_card,1267,1
268,credit_card,1268,1
269,credit_card,1269,1
270,credit_card,1270,1
271,credit_card,1271,1
272,credit_card,1272,1
273,credit_card,1273,1
274,credit_card,1274,1
275,credit_card,1275,1
276,credit_card,1276,1
277,credit_card,1277,1
278,credit_card,1278,1
279,credit_card,1279,1
280,credit_card,1280,1
281,credit_card,1281,1
282,credit_card,1282,1
283,credit_card,1283,1
284,credit_card,1284,1
285,credit_card,1285,1
286,credit_card,1286,1
287,credit_card,1287,1
288,credit_card,1288,1
289,credit_card,1289,1
290,credit_card,1290,1
291,credit_card,1291,1
292,credit_card,1292,1
293,credit_card,1293,1
294,credit_card,1294,1
295,credit_card,1295,1
296,credit_card,1296,1
297,credit_card,1297,1
298,credit_card,1298,1
299,credit_card,1299,1
300,credit_card,1300,1
301,credit_card,1301,1
302,credit_card,1302,1
303,credit_card,1303,1
304,credit_card,1304,1
305,credit_card,1305,1
306,credit_card,1306,1
307,credit_card,1307,1
308,credit_card,1308,1
309,credit_card,1309,1
310,credit_card,1310,1
311,credit_card,1311,1
312,credit_card,1312,1
313,credit_card,1313,1
314,credit_card,1314,1
315,credit_card,1315,1
316,credit_card,1316,1
317,credit_card,1317,1
318,credit_card,1318,1
319,credit_card,1319,1
320,credit_card,1320,1
321,credit_card,1321,1
322,credit_card,1322,1
323,credit_card,1323,1
324,credit_card,1324,1
325,credit_card,1325,1
326,credit_card,1326,1
327,credit_card,1327,1
328,credit_card,1328,1
329,credit_card,1329,1
330,credit_card,1330,1
331,credit_card,1331,1
332,credit_card,1332,1
333,credit_card,1333,1
334,credit_card,1334,1
335,credit_card,1335,1
336,credit_card,1336,1
337,credit_card,1337,1
338,credit_card,1338,1
339,credit_card,1339,1
340,credit_card,1340,1
341,credit_card,1341,1
342,credit_card,1342,1
343,credit_card,1343,1
344,credit_card,1344,1
345,credit_card,1345,1
346,credit_card,1346,1
347,credit_card,1347,1
348,credit_card,1348,1
349,credit_card,1349,1
350,credit_card,1350,1
351,credit_card,1351,1
352,credit_card,1352,1
353,credit_card,1353,1
354,credit_card,1354,1
355,credit_card,1355,1
356,credit_card,1356,1
357,credit_card,1357,1
